book,chapter,verse,start,end
1,14,17,3622.5984,3635.6903
1,14,18,3637.4176,3645.2273
1,14,19,3645.7294,3653.6998
1,14,20,3653.9006,3662.6142
1,14,21,3663.0159,3670.7654
1,14,22,3671.0064,3678.6755
1,14,23,3679.2178,3688.8552
1,14,24,3689.2167,3702.2083
1,15,1,3705.9532,3718.8479
1,15,2,3719.1893,3730.4335
1,15,3,3731.0762,3739.0667
1,15,4,3739.7295,3749.9694
1,15,5,3750.4514,3765.3912
1,15,6,3765.7126,3770.7305
1,15,7,3772.5783,3782.6174
1,15,8,3782.999,3789.6639
1,15,9,3789.8848,3800.3457
1,15,10,3800.8679,3813.3573
1,15,11,3813.8594,3819.7812
1,15,12,3821.5687,3831.0856
1,15,13,3831.6681,3843.4947
1,15,14,3844.1776,3852.8108
1,15,15,3854.2368,3859.5962
1,15,16,3859.7167,3866.7833
1,15,17,3867.3858,3879.3129
1,15,18,3879.7347,3894.8351
1,15,19,3895.1565,3899.1099
1,15,20,3899.4714,3903.2441
1,15,21,3903.5253,3910.1099
1,16,1,3913.7513,3920.7341
1,16,2,3921.0956,3934.2679
1,16,3,3935.0713,3951.0353
1,16,4,3953.0438,3960.512
1,16,5,3960.7128,3976.6769
1,16,6,3976.8577,3989.568
1,16,7,3991.476,3998.9042
1,16,8,3999.6072,4013.3217
1,16,9,4013.7435,4021.6737
1,16,10,4021.9951,4029.4031
1,16,11,4029.8851,4042.2942
1,16,12,4042.8767,4051.9919
1,16,13,4052.6346,4064.1198
1,16,14,4064.1198,4072.4116
1,16,15,4073.9983,4083.6966
1,16,16,4083.9778,4092.1089
1,17,1,4094.9476,4110.3206
1,17,2,4111.1842,4118.291
1,17,3,4118.6525,4124.8555
1,17,4,4125.458,4132.143
1,17,5,4133.0267,4143.3671
1,17,6,4143.7286,4151.7593
1,17,7,4152.884,4167.0003
1,17,8,4168.6673,4181.8396
1,17,9,4183.0447,4192.9834
1,17,10,4193.3048,4203.6652
1,17,11,4204.087,4211.495
1,17,12,4212.0172,4226.0331
1,17,13,4226.4147,4236.9559
1,17,14,4238.4422,4250.0278
1,17,15,4250.6504,4260.1071
1,17,16,4260.8301,4273.2995
1,17,17,4273.882,4286.3915
1,17,18,4286.7329,4292.9359
1,17,19,4293.2372,4307.9359
1,17,20,4309.382,4324.623
1,17,21,4324.8841,4334.4211
1,17,22,4334.7224,4340.6441
1,17,23,4341.8893,4362.031
1,17,24,4362.8143,4368.7562
1,17,25,4369.1579,4376.1642
1,17,26,4376.7266,4382.5479
1,17,27,4382.7287,4391.3016
1,18,1,4398.846,4406.8212
1,18,2,4407.3528,4421.0546
1,18,3,4421.7261,4431.0743
1,18,4,4431.5667,4438.3107
1,18,5,4439.1018,4452.3951
1,18,6,4453.0274,4465.1456
1,18,7,4465.8059,4478.3493
1,18,8,4478.8921,4491.2956
1,18,9,4492.0119,4499.838
1,18,10,4502.2554,4514.2057
1,18,11,4516.4217,4524.2981
1,18,12,4524.6618,4533.982
1,18,13,4534.6647,4545.5461
1,18,14,4547.555,4555.1573
1,18,15,4555.7169,4564.0802
1,18,16,4566.6655,4573.5627
1,18,17,4574.2062,4580.0066
1,18,18,4580.8292,4587.939
1,18,19,4588.7224,4606.1275
1,18,20,4606.8438,4615.1287
1,18,21,4615.761,4624.9022
1,18,22,4625.0253,4633.8643
1,18,23,4634.3284,4640.3361
1,18,24,4641.3154,4652.2752
1,18,25,4652.6054,4667.2752
1,18,26,4667.8012,4677.6978
1,18,27,4679.2879,4687.516
1,18,28,4687.9693,4703.1931
1,18,29,4703.831,4714.5894
1,18,30,4715.7198,4728.8172
1,18,31,4729.36,4740.5884
1,18,32,4741.411,4755.3758
1,18,33,4755.8347,4763.6608
1,19,1,4766.6305,4779.6042
1,19,2,4780.4156,4796.1878
1,19,3,4798.1911,4807.6176
1,19,4,4808.5633,4818.7844
1,19,5,4819.4671,4828.1326
1,19,6,4828.9328,4834.4422
1,19,7,4834.8619,4838.3456
1,19,8,4838.5694,4857.6919
1,19,9,4858.0836,4872.8542
1,19,10,4873.2963,4881.6092
1,19,11,4882.3367,4892.2836
1,19,12,4893.9624,4905.9854
1,19,13,4906.4107,4915.7141
1,19,14,4916.2793,4931.4863
1,19,15,4931.9787,4946.2177
1,19,16,4947.3145,4960.8484
1,19,17,4963.1651,4976.962
1,19,18,4977.3033,4981.0781
1,19,19,4981.3971,4998.955
1,19,20,4999.5705,5009.691
1,19,21,5010.3121,5019.5204
1,19,22,5022.4191,5032.1925
1,19,23,5033.0934,5039.252
1,19,24,5041.0651,5048.008
1,19,25,5048.3708,5055.8947
1,19,26,5056.7577,5061.6503
1,19,27,5062.3945,5069.6275
1,19,28,5070.3438,5081.9583
1,19,29,5082.641,5096.4977
1,19,30,5098.8161,5112.5627
1,19,31,5113.0999,5123.2147
1,19,32,5123.7407,5131.2758
1,19,33,5131.6619,5143.9255
1,19,34,5144.4123,5161.5544
1,19,35,5162.2259,5174.4839
1,19,36,5174.9875,5178.9581
1,19,37,5179.5513,5186.6051
1,19,38,5186.9017,5195.1643
1,20,1,5197.3677,5206.6655
1,20,2,5207.102,5216.8866
1,20,3,5217.5525,5229.5699
1,20,4,5229.5699,5237.9612
1,20,5,5238.7278,5249.5533
1,20,6,5249.7939,5266.5943
1,20,7,5266.8517,5282.512
1,20,8,5284.3195,5293.9251
